match_number,match_date,team_name,team_game_number,player_name,points
24,2026-04-16,Mumbai Indians,5,AM Ghazanfar,54.0
24,2026-04-16,Mumbai Indians,5,DL Chahar,6.0
24,2026-04-16,Mumbai Indians,5,HH Pandya,14.0
24,2026-04-16,Mumbai Indians,5,JJ Bumrah,2.0
24,2026-04-16,Mumbai Indians,5,Mayank Rawat,4.0
24,2026-04-16,Mumbai Indians,5,Naman Dhir,83.0
24,2026-04-16,Mumbai Indians,5,Q de Kock,168.0
24,2026-04-16,Mumbai Indians,5,RD Rickelton,6.0
24,2026-04-16,Mumbai Indians,5,SA Yadav,2.0
24,2026-04-16,Mumbai Indians,5,SE Rutherford,5.0
24,2026-04-16,Mumbai Indians,5,SN Thakur,23.0
24,2026-04-16,Mumbai Indians,5,Tilak Varma,14.0
24,2026-04-16,Punjab Kings,5,Arshdeep Singh,95.0
24,2026-04-16,Punjab Kings,5,C Connolly,28.0
24,2026-04-16,Punjab Kings,5,M Jansen,29.0
24,2026-04-16,Punjab Kings,5,MP Stoinis,16.0
24,2026-04-16,Punjab Kings,5,P Simran Singh,113.0
24,2026-04-16,Punjab Kings,5,Priyansh Arya,23.0
24,2026-04-16,Punjab Kings,5,SS Iyer,97.0
24,2026-04-16,Punjab Kings,5,Shashank Singh,37.0
24,2026-04-16,Punjab Kings,5,Vijaykumar Vyshak,12.0
24,2026-04-16,Punjab Kings,5,XC Bartlett,20.0
24,2026-04-16,Punjab Kings,5,YS Chahal,6.0
